Change Footprint: Cannot match pads with new footprint in component :D10 Footprint:LEDC3216X120N
Change Footprint: Cannot match pads with new footprint in component :D11 Footprint:LEDC3216X120N
Change Footprint: Cannot match pads with new footprint in component :D14 Footprint:LEDC3216X120N
Change Footprint: Cannot match pads with new footprint in component :D15 Footprint:LEDC3216X120N
Change Footprint: Cannot match pads with new footprint in component :D19 Footprint:LEDC3216X120N
Change Footprint: Cannot match pads with new footprint in component :D20 Footprint:LEDC3216X120N
Add component: Footprint Not Found minimelf
Added Pin To Net: NetName=NetC1_2 Pin=U6-1
Added Pin To Net: NetName=NetC1_2 Pin=U6-2
Added Pin To Net: NetName=NetC1_1 Pin=U6-3
Added Pin To Net: NetName=NetC2_2 Pin=U6-4
Added Pin To Net: NetName=NetC4_2 Pin=U6-5
Added Pin To Net: NetName=NetC4_2 Pin=U6-6
Added Pin To Net: NetName=NetC4_2 Pin=U6-7
Added Pin To Net: NetName=NetC4_2 Pin=U6-8
Added Pin To Net: NetName=VCC Pin=U7-1
Added Pin To Net: NetName=GND Pin=U7-2
Added Pin To Net: NetName=GND Pin=U7-2
Added Pin To Net: NetName=+12v Pin=U7-3
Add Pin To Net: Unknown Pin: Pin U7-4
Added Member To Class: ClassName=tach key f Member=Component C1 =Value
Added Member To Class: ClassName=tach key f Member=Component C2 =Value
Added Member To Class: ClassName=tach key f Member=Component C3 =Value
Added Member To Class: ClassName=tach key f Member=Component C4 =Value
Added Member To Class: ClassName=tach key f Member=Component C5 =Value
Added Member To Class: ClassName=tach key f Member=Component C8 =Value
Added Member To Class: ClassName=tach key f Member=Component C10 =Value
Added Member To Class: ClassName=tach key f Member=Component C11 =Value
Added Member To Class: ClassName=tach key f Member=Component C12 =Value
Added Member To Class: ClassName=tach key f Member=Component D1 D Schottky
Added Member To Class: ClassName=tach key f Member=Component D2 D Schottky
Added Member To Class: ClassName=tach key f Member=Component D3 Zener Diode
Add Class Member: Failed to add class member : Component D4 18 Zener
Added Member To Class: ClassName=tach key f Member=Component D5 D Schottky
Added Member To Class: ClassName=tach key f Member=Component D6 D Tunnel1
Added Member To Class: ClassName=tach key f Member=Component D7 MODEL
Added Member To Class: ClassName=tach key f Member=Component D8 MODEL
Added Member To Class: ClassName=tach key f Member=Component D9 D Tunnel1
Added Member To Class: ClassName=tach key f Member=Component D12 MODEL
Added Member To Class: ClassName=tach key f Member=Component D13 MODEL
Added Member To Class: ClassName=tach key f Member=Component D16 D Tunnel1
Added Member To Class: ClassName=tach key f Member=Component D17 MODEL
Added Member To Class: ClassName=tach key f Member=Component D18 MODEL
Added Member To Class: ClassName=tach key f Member=Component D21 MODEL
Added Member To Class: ClassName=tach key f Member=Component D22 MODEL
Added Member To Class: ClassName=tach key f Member=Component D23 D Tunnel1
Added Member To Class: ClassName=tach key f Member=Component D24 D Tunnel1
Added Member To Class: ClassName=tach key f Member=Component K1 1-1721081-2
Added Member To Class: ClassName=tach key f Member=Component K2 1-1721081-2
Added Member To Class: ClassName=tach key f Member=Component K3 1-1721081-2
Added Member To Class: ClassName=tach key f Member=Component K4 1-1721081-2
Added Member To Class: ClassName=tach key f Member=Component L1 1mH
Added Member To Class: ClassName=tach key f Member=Component P2 Header 3X2
Added Member To Class: ClassName=tach key f Member=Component P3 Header 3X2
Added Member To Class: ClassName=tach key f Member=Component P4 Header 5
Added Member To Class: ClassName=tach key f Member=Component Q1 QNPN
Added Member To Class: ClassName=tach key f Member=Component Q2 QNPN
Added Member To Class: ClassName=tach key f Member=Component Q3 QNPN
Added Member To Class: ClassName=tach key f Member=Component Q4 QNPN
Added Member To Class: ClassName=tach key f Member=Component R2 10K
Added Member To Class: ClassName=tach key f Member=Component R3 10K
Added Member To Class: ClassName=tach key f Member=Component R5 10K
Added Member To Class: ClassName=tach key f Member=Component R7 10K
Added Member To Class: ClassName=tach key f Member=Component R8 10K
Added Member To Class: ClassName=tach key f Member=Component R9 10K
Added Member To Class: ClassName=tach key f Member=Component R10 10K
Added Member To Class: ClassName=tach key f Member=Component R11 10K
Added Member To Class: ClassName=tach key f Member=Component R12 10K
Added Member To Class: ClassName=tach key f Member=Component R13 10K
Added Member To Class: ClassName=tach key f Member=Component R15 10K
Added Member To Class: ClassName=tach key f Member=Component R16 10K
Added Member To Class: ClassName=tach key f Member=Component R18 10K
Added Member To Class: ClassName=tach key f Member=Component R20 10K
Added Member To Class: ClassName=tach key f Member=Component R21 10K
Added Member To Class: ClassName=tach key f Member=Component R22 10K
Added Member To Class: ClassName=tach key f Member=Component R23 10K
Added Member To Class: ClassName=tach key f Member=Component T1 Phoenix terminal
Added Member To Class: ClassName=tach key f Member=Component U2 ATtiny15L-1SC
Added Member To Class: ClassName=tach key f Member=Component U3 MB6S
Added Member To Class: ClassName=tach key f Member=Component U5 ATtiny15L-1SC
Added Member To Class: ClassName=tach key f Member=Component U6 HT7A6312
Added Member To Class: ClassName=tach key f Member=Component U7 LM1117MP-3.3
