Altium Designer Pick and Place Locations
D:\hamed\project\altium\remote-38k-6key\Pick Place for remote-38k-6key-v2.csv

========================================================================================================================
File Design Information:

Date:       30/07/26
Time:       13:42
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Description"
"J2","Header3X1","TopLayer","HEADER_3X1","35.3060","237.5890","35.3060","235.0490","35.3060","235.0490","90",""
"R1","5.6k","TopLayer","RES_1206_(3216X08L)","29.1465","235.4300","29.3370","235.4300","27.3050","235.4300","0","Resistor"
"R2","200k","TopLayer","RES_1206_(3216X08L)","23.6220","235.4300","23.6220","235.4300","22.3520","235.4300","0","Resistor"
"R3","510","TopLayer","RES_1206_(3216X08L)","23.6246","247.3680","23.6220","247.3680","22.3266","247.3680","0","Resistor"
"R4","510","TopLayer","RES_1206_(3216X08L)","23.6246","244.7010","23.6220","244.7010","22.3266","244.7010","0","Resistor"
"C2","100nf","TopLayer","CAP_1206","29.2380","238.6050","29.4640","238.6050","27.6860","238.6050","0","Capacitor"
"c10","33nf","TopLayer","RES_1206_(3216X08L)","35.5600","229.3340","35.5600","229.3340","34.2900","229.3340","0","Resistor"
"C1","47uf","TopLayer","C1206","29.2240","213.7800","29.4640","213.7800","30.8140","213.7800","180","Default Diode"
"Q3","Triac","TopLayer","SOT89N","13.1140","202.3500","11.3140","202.3500","13.1140","200.8500","180","Silicon Bidirectional Triode Thyristor"
"D5v","D5v","TopLayer","CAP_1206","29.3370","216.8280","29.2100","216.8280","27.3050","216.8280","0","Capacitor"
"R8","10K","TopLayer","RES_1206_(3216X08L)","17.1030","206.7950","17.1450","206.7950","18.7120","206.7950","180","Resistor"
"U1","MB6S","TopLayer","SOIC245P670X270-4N","9.9060","220.2570","9.9060","220.2570","12.8060","219.0320","180","Bridge Rectifier Single Phase Standard 600V Surface Mount 4-SOIC"
"J3","Header4X1","BottomLayer","HEADER_4X1","3.5560","205.6520","3.5560","209.4620","3.5560","209.4620","270",""
"R9","10K","TopLayer","RES_1206_(3216X08L)","17.0180","200.9530","16.7640","200.9530","18.6690","200.9530","180","Resistor"
"R7","10K","TopLayer","RES_1206_(3216X08L)","17.0395","212.9130","17.1450","212.9130","18.5850","212.9130","180","Resistor"
"Q1","Triac","TopLayer","SOT89N","13.1030","214.2880","11.3030","214.2880","13.1030","212.7880","180","Silicon Bidirectional Triode Thyristor"
"Q2","Triac","TopLayer","SOT89N","13.1140","208.3190","11.3140","208.3190","13.1140","206.8190","180","Silicon Bidirectional Triode Thyristor"
"J1","Header3X1","BottomLayer","HEADER_3X1","3.5560","218.8600","3.6830","216.3200","3.6830","216.3200","90",""
"R5","510","TopLayer","RES_1206_(3216X08L)","23.6246","213.7800","23.6220","213.7800","22.3266","213.7800","0","Resistor"
"R6","510","TopLayer","RES_1206_(3216X08L)","23.6246","210.6050","23.6220","210.6050","22.3266","210.6050","0","Resistor"
"U3","ATtiny15L-1SC","TopLayer","8S2_N","28.0670","202.6040","28.0670","202.6040","31.4670","200.6990","180","8-Bit AVR Microcontroller with 1K Byte of Flash Memory"
"J2","Header3X1","TopLayer","HEADER_3X1","35.3060","209.5890","35.3060","207.0490","35.3060","207.0490","90",""
"R1","5.6k","TopLayer","RES_1206_(3216X08L)","29.1465","207.4300","29.3370","207.4300","27.3050","207.4300","0","Resistor"
"R2","200k","TopLayer","RES_1206_(3216X08L)","23.6220","207.4300","23.6220","207.4300","22.3520","207.4300","0","Resistor"
"R3","510","TopLayer","RES_1206_(3216X08L)","23.6246","219.3680","23.6220","219.3680","22.3266","219.3680","0","Resistor"
"R4","510","TopLayer","RES_1206_(3216X08L)","23.6246","216.7010","23.6220","216.7010","22.3266","216.7010","0","Resistor"
"C2","100nf","TopLayer","CAP_1206","29.2380","210.6050","29.4640","210.6050","27.6860","210.6050","0","Capacitor"
"c10","33nf","TopLayer","RES_1206_(3216X08L)","35.5600","201.3340","35.5600","201.3340","34.2900","201.3340","0","Resistor"
"C1","47uf","TopLayer","C1206","29.2240","185.7800","29.4640","185.7800","30.8140","185.7800","180","Default Diode"
"Q3","Triac","TopLayer","SOT89N","13.1140","174.3500","11.3140","174.3500","13.1140","172.8500","180","Silicon Bidirectional Triode Thyristor"
"D5v","D5v","TopLayer","CAP_1206","29.3370","188.8280","29.2100","188.8280","27.3050","188.8280","0","Capacitor"
"R8","10K","TopLayer","RES_1206_(3216X08L)","17.1030","178.7950","17.1450","178.7950","18.7120","178.7950","180","Resistor"
"U1","MB6S","TopLayer","SOIC245P670X270-4N","9.9060","192.2570","9.9060","192.2570","12.8060","191.0320","180","Bridge Rectifier Single Phase Standard 600V Surface Mount 4-SOIC"
"J3","Header4X1","BottomLayer","HEADER_4X1","3.5560","177.6520","3.5560","181.4620","3.5560","181.4620","270",""
"R9","10K","TopLayer","RES_1206_(3216X08L)","17.0180","172.9530","16.7640","172.9530","18.6690","172.9530","180","Resistor"
"R7","10K","TopLayer","RES_1206_(3216X08L)","17.0395","184.9130","17.1450","184.9130","18.5850","184.9130","180","Resistor"
"Q1","Triac","TopLayer","SOT89N","13.1030","186.2880","11.3030","186.2880","13.1030","184.7880","180","Silicon Bidirectional Triode Thyristor"
"Q2","Triac","TopLayer","SOT89N","13.1140","180.3190","11.3140","180.3190","13.1140","178.8190","180","Silicon Bidirectional Triode Thyristor"
"J1","Header3X1","BottomLayer","HEADER_3X1","3.5560","190.8600","3.6830","188.3200","3.6830","188.3200","90",""
"R5","510","TopLayer","RES_1206_(3216X08L)","23.6246","185.7800","23.6220","185.7800","22.3266","185.7800","0","Resistor"
"R6","510","TopLayer","RES_1206_(3216X08L)","23.6246","182.6050","23.6220","182.6050","22.3266","182.6050","0","Resistor"
"U3","ATtiny15L-1SC","TopLayer","8S2_N","28.0670","174.6040","28.0670","174.6040","31.4670","172.6990","180","8-Bit AVR Microcontroller with 1K Byte of Flash Memory"
"J2","Header3X1","TopLayer","HEADER_3X1","35.3060","181.5890","35.3060","179.0490","35.3060","179.0490","90",""
"R1","5.6k","TopLayer","RES_1206_(3216X08L)","29.1465","179.4300","29.3370","179.4300","27.3050","179.4300","0","Resistor"
"R2","200k","TopLayer","RES_1206_(3216X08L)","23.6220","179.4300","23.6220","179.4300","22.3520","179.4300","0","Resistor"
"R3","510","TopLayer","RES_1206_(3216X08L)","23.6246","191.3680","23.6220","191.3680","22.3266","191.3680","0","Resistor"
"R4","510","TopLayer","RES_1206_(3216X08L)","23.6246","188.7010","23.6220","188.7010","22.3266","188.7010","0","Resistor"
"C2","100nf","TopLayer","CAP_1206","29.2380","182.6050","29.4640","182.6050","27.6860","182.6050","0","Capacitor"
"c10","33nf","TopLayer","RES_1206_(3216X08L)","35.5600","173.3340","35.5600","173.3340","34.2900","173.3340","0","Resistor"
"C1","47uf","TopLayer","C1206","29.2240","157.7800","29.4640","157.7800","30.8140","157.7800","180","Default Diode"
"Q3","Triac","TopLayer","SOT89N","13.1140","146.3500","11.3140","146.3500","13.1140","144.8500","180","Silicon Bidirectional Triode Thyristor"
"D5v","D5v","TopLayer","CAP_1206","29.3370","160.8280","29.2100","160.8280","27.3050","160.8280","0","Capacitor"
"R8","10K","TopLayer","RES_1206_(3216X08L)","17.1030","150.7950","17.1450","150.7950","18.7120","150.7950","180","Resistor"
"U1","MB6S","TopLayer","SOIC245P670X270-4N","9.9060","164.2570","9.9060","164.2570","12.8060","163.0320","180","Bridge Rectifier Single Phase Standard 600V Surface Mount 4-SOIC"
"J3","Header4X1","BottomLayer","HEADER_4X1","3.5560","149.6520","3.5560","153.4620","3.5560","153.4620","270",""
"R9","10K","TopLayer","RES_1206_(3216X08L)","17.0180","144.9530","16.7640","144.9530","18.6690","144.9530","180","Resistor"
"R7","10K","TopLayer","RES_1206_(3216X08L)","17.0395","156.9130","17.1450","156.9130","18.5850","156.9130","180","Resistor"
"Q1","Triac","TopLayer","SOT89N","13.1030","158.2880","11.3030","158.2880","13.1030","156.7880","180","Silicon Bidirectional Triode Thyristor"
"Q2","Triac","TopLayer","SOT89N","13.1140","152.3190","11.3140","152.3190","13.1140","150.8190","180","Silicon Bidirectional Triode Thyristor"
"J1","Header3X1","BottomLayer","HEADER_3X1","3.5560","162.8600","3.6830","160.3200","3.6830","160.3200","90",""
"R5","510","TopLayer","RES_1206_(3216X08L)","23.6246","157.7800","23.6220","157.7800","22.3266","157.7800","0","Resistor"
"R6","510","TopLayer","RES_1206_(3216X08L)","23.6246","154.6050","23.6220","154.6050","22.3266","154.6050","0","Resistor"
"U3","ATtiny15L-1SC","TopLayer","8S2_N","28.0670","146.6040","28.0670","146.6040","31.4670","144.6990","180","8-Bit AVR Microcontroller with 1K Byte of Flash Memory"
"J2","Header3X1","TopLayer","HEADER_3X1","35.3060","153.5890","35.3060","151.0490","35.3060","151.0490","90",""
"R1","5.6k","TopLayer","RES_1206_(3216X08L)","29.1465","151.4300","29.3370","151.4300","27.3050","151.4300","0","Resistor"
"R2","200k","TopLayer","RES_1206_(3216X08L)","23.6220","151.4300","23.6220","151.4300","22.3520","151.4300","0","Resistor"
"R3","510","TopLayer","RES_1206_(3216X08L)","23.6246","163.3680","23.6220","163.3680","22.3266","163.3680","0","Resistor"
"R4","510","TopLayer","RES_1206_(3216X08L)","23.6246","160.7010","23.6220","160.7010","22.3266","160.7010","0","Resistor"
"C2","100nf","TopLayer","CAP_1206","29.2380","154.6050","29.4640","154.6050","27.6860","154.6050","0","Capacitor"
"c10","33nf","TopLayer","RES_1206_(3216X08L)","35.5600","145.3340","35.5600","145.3340","34.2900","145.3340","0","Resistor"
"C1","47uf","TopLayer","C1206","29.2240","129.7800","29.4640","129.7800","30.8140","129.7800","180","Default Diode"
"Q3","Triac","TopLayer","SOT89N","13.1140","118.3500","11.3140","118.3500","13.1140","116.8500","180","Silicon Bidirectional Triode Thyristor"
"D5v","D5v","TopLayer","CAP_1206","29.3370","132.8280","29.2100","132.8280","27.3050","132.8280","0","Capacitor"
"R8","10K","TopLayer","RES_1206_(3216X08L)","17.1030","122.7950","17.1450","122.7950","18.7120","122.7950","180","Resistor"
"U1","MB6S","TopLayer","SOIC245P670X270-4N","9.9060","136.2570","9.9060","136.2570","12.8060","135.0320","180","Bridge Rectifier Single Phase Standard 600V Surface Mount 4-SOIC"
"J3","Header4X1","BottomLayer","HEADER_4X1","3.5560","121.6520","3.5560","125.4620","3.5560","125.4620","270",""
"R9","10K","TopLayer","RES_1206_(3216X08L)","17.0180","116.9530","16.7640","116.9530","18.6690","116.9530","180","Resistor"
"R7","10K","TopLayer","RES_1206_(3216X08L)","17.0395","128.9130","17.1450","128.9130","18.5850","128.9130","180","Resistor"
"Q1","Triac","TopLayer","SOT89N","13.1030","130.2880","11.3030","130.2880","13.1030","128.7880","180","Silicon Bidirectional Triode Thyristor"
"Q2","Triac","TopLayer","SOT89N","13.1140","124.3190","11.3140","124.3190","13.1140","122.8190","180","Silicon Bidirectional Triode Thyristor"
"J1","Header3X1","BottomLayer","HEADER_3X1","3.5560","134.8600","3.6830","132.3200","3.6830","132.3200","90",""
"R5","510","TopLayer","RES_1206_(3216X08L)","23.6246","129.7800","23.6220","129.7800","22.3266","129.7800","0","Resistor"
"R6","510","TopLayer","RES_1206_(3216X08L)","23.6246","126.6050","23.6220","126.6050","22.3266","126.6050","0","Resistor"
"U3","ATtiny15L-1SC","TopLayer","8S2_N","28.0670","118.6040","28.0670","118.6040","31.4670","116.6990","180","8-Bit AVR Microcontroller with 1K Byte of Flash Memory"
"J2","Header3X1","TopLayer","HEADER_3X1","35.3060","125.5890","35.3060","123.0490","35.3060","123.0490","90",""
"R1","5.6k","TopLayer","RES_1206_(3216X08L)","29.1465","123.4300","29.3370","123.4300","27.3050","123.4300","0","Resistor"
"R2","200k","TopLayer","RES_1206_(3216X08L)","23.6220","123.4300","23.6220","123.4300","22.3520","123.4300","0","Resistor"
"R3","510","TopLayer","RES_1206_(3216X08L)","23.6246","135.3680","23.6220","135.3680","22.3266","135.3680","0","Resistor"
"R4","510","TopLayer","RES_1206_(3216X08L)","23.6246","132.7010","23.6220","132.7010","22.3266","132.7010","0","Resistor"
"C2","100nf","TopLayer","CAP_1206","29.2380","126.6050","29.4640","126.6050","27.6860","126.6050","0","Capacitor"
"c10","33nf","TopLayer","RES_1206_(3216X08L)","35.5600","117.3340","35.5600","117.3340","34.2900","117.3340","0","Resistor"
"C1","47uf","TopLayer","C1206","29.2240","101.7800","29.4640","101.7800","30.8140","101.7800","180","Default Diode"
"Q3","Triac","TopLayer","SOT89N","13.1140","90.3500","11.3140","90.3500","13.1140","88.8500","180","Silicon Bidirectional Triode Thyristor"
"D5v","D5v","TopLayer","CAP_1206","29.3370","104.8280","29.2100","104.8280","27.3050","104.8280","0","Capacitor"
"R8","10K","TopLayer","RES_1206_(3216X08L)","17.1030","94.7950","17.1450","94.7950","18.7120","94.7950","180","Resistor"
"U1","MB6S","TopLayer","SOIC245P670X270-4N","9.9060","108.2570","9.9060","108.2570","12.8060","107.0320","180","Bridge Rectifier Single Phase Standard 600V Surface Mount 4-SOIC"
"J3","Header4X1","BottomLayer","HEADER_4X1","3.5560","93.6520","3.5560","97.4620","3.5560","97.4620","270",""
"R9","10K","TopLayer","RES_1206_(3216X08L)","17.0180","88.9530","16.7640","88.9530","18.6690","88.9530","180","Resistor"
"R7","10K","TopLayer","RES_1206_(3216X08L)","17.0395","100.9130","17.1450","100.9130","18.5850","100.9130","180","Resistor"
"Q1","Triac","TopLayer","SOT89N","13.1030","102.2880","11.3030","102.2880","13.1030","100.7880","180","Silicon Bidirectional Triode Thyristor"
"Q2","Triac","TopLayer","SOT89N","13.1140","96.3190","11.3140","96.3190","13.1140","94.8190","180","Silicon Bidirectional Triode Thyristor"
"J1","Header3X1","BottomLayer","HEADER_3X1","3.5560","106.8600","3.6830","104.3200","3.6830","104.3200","90",""
"R5","510","TopLayer","RES_1206_(3216X08L)","23.6246","101.7800","23.6220","101.7800","22.3266","101.7800","0","Resistor"
"R6","510","TopLayer","RES_1206_(3216X08L)","23.6246","98.6050","23.6220","98.6050","22.3266","98.6050","0","Resistor"
"U3","ATtiny15L-1SC","TopLayer","8S2_N","28.0670","90.6040","28.0670","90.6040","31.4670","88.6990","180","8-Bit AVR Microcontroller with 1K Byte of Flash Memory"
"J2","Header3X1","TopLayer","HEADER_3X1","35.3060","97.5890","35.3060","95.0490","35.3060","95.0490","90",""
"R1","5.6k","TopLayer","RES_1206_(3216X08L)","29.1465","95.4300","29.3370","95.4300","27.3050","95.4300","0","Resistor"
"R2","200k","TopLayer","RES_1206_(3216X08L)","23.6220","95.4300","23.6220","95.4300","22.3520","95.4300","0","Resistor"
"R3","510","TopLayer","RES_1206_(3216X08L)","23.6246","107.3680","23.6220","107.3680","22.3266","107.3680","0","Resistor"
"R4","510","TopLayer","RES_1206_(3216X08L)","23.6246","104.7010","23.6220","104.7010","22.3266","104.7010","0","Resistor"
"C2","100nf","TopLayer","CAP_1206","29.2380","98.6050","29.4640","98.6050","27.6860","98.6050","0","Capacitor"
"c10","33nf","TopLayer","RES_1206_(3216X08L)","35.5600","89.3340","35.5600","89.3340","34.2900","89.3340","0","Resistor"
"C1","47uf","TopLayer","C1206","29.2240","73.7800","29.4640","73.7800","30.8140","73.7800","180","Default Diode"
"Q3","Triac","TopLayer","SOT89N","13.1140","62.3500","11.3140","62.3500","13.1140","60.8500","180","Silicon Bidirectional Triode Thyristor"
"D5v","D5v","TopLayer","CAP_1206","29.3370","76.8280","29.2100","76.8280","27.3050","76.8280","0","Capacitor"
"R8","10K","TopLayer","RES_1206_(3216X08L)","17.1030","66.7950","17.1450","66.7950","18.7120","66.7950","180","Resistor"
"U1","MB6S","TopLayer","SOIC245P670X270-4N","9.9060","80.2570","9.9060","80.2570","12.8060","79.0320","180","Bridge Rectifier Single Phase Standard 600V Surface Mount 4-SOIC"
"J3","Header4X1","BottomLayer","HEADER_4X1","3.5560","65.6520","3.5560","69.4620","3.5560","69.4620","270",""
"R9","10K","TopLayer","RES_1206_(3216X08L)","17.0180","60.9530","16.7640","60.9530","18.6690","60.9530","180","Resistor"
"R7","10K","TopLayer","RES_1206_(3216X08L)","17.0395","72.9130","17.1450","72.9130","18.5850","72.9130","180","Resistor"
"Q1","Triac","TopLayer","SOT89N","13.1030","74.2880","11.3030","74.2880","13.1030","72.7880","180","Silicon Bidirectional Triode Thyristor"
"Q2","Triac","TopLayer","SOT89N","13.1140","68.3190","11.3140","68.3190","13.1140","66.8190","180","Silicon Bidirectional Triode Thyristor"
"J1","Header3X1","BottomLayer","HEADER_3X1","3.5560","78.8600","3.6830","76.3200","3.6830","76.3200","90",""
"R5","510","TopLayer","RES_1206_(3216X08L)","23.6246","73.7800","23.6220","73.7800","22.3266","73.7800","0","Resistor"
"R6","510","TopLayer","RES_1206_(3216X08L)","23.6246","70.6050","23.6220","70.6050","22.3266","70.6050","0","Resistor"
"U3","ATtiny15L-1SC","TopLayer","8S2_N","28.0670","62.6040","28.0670","62.6040","31.4670","60.6990","180","8-Bit AVR Microcontroller with 1K Byte of Flash Memory"
"J2","Header3X1","TopLayer","HEADER_3X1","35.3060","69.5890","35.3060","67.0490","35.3060","67.0490","90",""
"R1","5.6k","TopLayer","RES_1206_(3216X08L)","29.1465","67.4300","29.3370","67.4300","27.3050","67.4300","0","Resistor"
"R2","200k","TopLayer","RES_1206_(3216X08L)","23.6220","67.4300","23.6220","67.4300","22.3520","67.4300","0","Resistor"
"R3","510","TopLayer","RES_1206_(3216X08L)","23.6246","79.3680","23.6220","79.3680","22.3266","79.3680","0","Resistor"
"R4","510","TopLayer","RES_1206_(3216X08L)","23.6246","76.7010","23.6220","76.7010","22.3266","76.7010","0","Resistor"
"C2","100nf","TopLayer","CAP_1206","29.2380","70.6050","29.4640","70.6050","27.6860","70.6050","0","Capacitor"
"c10","33nf","TopLayer","RES_1206_(3216X08L)","35.5600","61.3340","35.5600","61.3340","34.2900","61.3340","0","Resistor"
"C1","47uf","TopLayer","C1206","29.2240","45.7800","29.4640","45.7800","30.8140","45.7800","180","Default Diode"
"Q3","Triac","TopLayer","SOT89N","13.1140","34.3500","11.3140","34.3500","13.1140","32.8500","180","Silicon Bidirectional Triode Thyristor"
"D5v","D5v","TopLayer","CAP_1206","29.3370","48.8280","29.2100","48.8280","27.3050","48.8280","0","Capacitor"
"R8","10K","TopLayer","RES_1206_(3216X08L)","17.1030","38.7950","17.1450","38.7950","18.7120","38.7950","180","Resistor"
"U1","MB6S","TopLayer","SOIC245P670X270-4N","9.9060","52.2570","9.9060","52.2570","12.8060","51.0320","180","Bridge Rectifier Single Phase Standard 600V Surface Mount 4-SOIC"
"J3","Header4X1","BottomLayer","HEADER_4X1","3.5560","37.6520","3.5560","41.4620","3.5560","41.4620","270",""
"R9","10K","TopLayer","RES_1206_(3216X08L)","17.0180","32.9530","16.7640","32.9530","18.6690","32.9530","180","Resistor"
"R7","10K","TopLayer","RES_1206_(3216X08L)","17.0395","44.9130","17.1450","44.9130","18.5850","44.9130","180","Resistor"
"Q1","Triac","TopLayer","SOT89N","13.1030","46.2880","11.3030","46.2880","13.1030","44.7880","180","Silicon Bidirectional Triode Thyristor"
"Q2","Triac","TopLayer","SOT89N","13.1140","40.3190","11.3140","40.3190","13.1140","38.8190","180","Silicon Bidirectional Triode Thyristor"
"J1","Header3X1","BottomLayer","HEADER_3X1","3.5560","50.8600","3.6830","48.3200","3.6830","48.3200","90",""
"R5","510","TopLayer","RES_1206_(3216X08L)","23.6246","45.7800","23.6220","45.7800","22.3266","45.7800","0","Resistor"
"R6","510","TopLayer","RES_1206_(3216X08L)","23.6246","42.6050","23.6220","42.6050","22.3266","42.6050","0","Resistor"
"U3","ATtiny15L-1SC","TopLayer","8S2_N","28.0670","34.6040","28.0670","34.6040","31.4670","32.6990","180","8-Bit AVR Microcontroller with 1K Byte of Flash Memory"
"J2","Header3X1","TopLayer","HEADER_3X1","35.3060","41.5890","35.3060","39.0490","35.3060","39.0490","90",""
"R1","5.6k","TopLayer","RES_1206_(3216X08L)","29.1465","39.4300","29.3370","39.4300","27.3050","39.4300","0","Resistor"
"R2","200k","TopLayer","RES_1206_(3216X08L)","23.6220","39.4300","23.6220","39.4300","22.3520","39.4300","0","Resistor"
"R3","510","TopLayer","RES_1206_(3216X08L)","23.6246","51.3680","23.6220","51.3680","22.3266","51.3680","0","Resistor"
"R4","510","TopLayer","RES_1206_(3216X08L)","23.6246","48.7010","23.6220","48.7010","22.3266","48.7010","0","Resistor"
"C2","100nf","TopLayer","CAP_1206","29.2380","42.6050","29.4640","42.6050","27.6860","42.6050","0","Capacitor"
"c10","33nf","TopLayer","RES_1206_(3216X08L)","35.5600","33.3340","35.5600","33.3340","34.2900","33.3340","0","Resistor"
"C1","47uf","TopLayer","C1206","29.2240","17.7800","29.4640","17.7800","30.8140","17.7800","180","Default Diode"
"Q3","Triac","TopLayer","SOT89N","13.1140","6.3500","11.3140","6.3500","13.1140","4.8500","180","Silicon Bidirectional Triode Thyristor"
"D5v","D5v","TopLayer","CAP_1206","29.3370","20.8280","29.2100","20.8280","27.3050","20.8280","0","Capacitor"
"R8","10K","TopLayer","RES_1206_(3216X08L)","17.1030","10.7950","17.1450","10.7950","18.7120","10.7950","180","Resistor"
"U1","MB6S","TopLayer","SOIC245P670X270-4N","9.9060","24.2570","9.9060","24.2570","12.8060","23.0320","180","Bridge Rectifier Single Phase Standard 600V Surface Mount 4-SOIC"
"J3","Header4X1","BottomLayer","HEADER_4X1","3.5560","9.6520","3.5560","13.4620","3.5560","13.4620","270",""
"R9","10K","TopLayer","RES_1206_(3216X08L)","17.0180","4.9530","16.7640","4.9530","18.6690","4.9530","180","Resistor"
"R7","10K","TopLayer","RES_1206_(3216X08L)","17.0395","16.9130","17.1450","16.9130","18.5850","16.9130","180","Resistor"
"Q1","Triac","TopLayer","SOT89N","13.1030","18.2880","11.3030","18.2880","13.1030","16.7880","180","Silicon Bidirectional Triode Thyristor"
"Q2","Triac","TopLayer","SOT89N","13.1140","12.3190","11.3140","12.3190","13.1140","10.8190","180","Silicon Bidirectional Triode Thyristor"
"J1","Header3X1","BottomLayer","HEADER_3X1","3.5560","22.8600","3.6830","20.3200","3.6830","20.3200","90",""
"R5","510","TopLayer","RES_1206_(3216X08L)","23.6246","17.7800","23.6220","17.7800","22.3266","17.7800","0","Resistor"
"R6","510","TopLayer","RES_1206_(3216X08L)","23.6246","14.6050","23.6220","14.6050","22.3266","14.6050","0","Resistor"
